#Rank	Path	LengthInKmers	Flows
3	73000003	1533	3
0	99000000	1016	2
1	102000001	996	3
0	100000000	1007	2
2	142000002	1384	3
3	74000003	1614	3
1	103000001	994	2
0	101000000	1006	2
2	143000002	970	3
0	102000000	1005	2
2	144000002	829	2
1	104000001	980	3
3	75000003	1368	3
0	104000000	981	2
1	105000001	971	2
2	145000002	830	3
3	76000003	1262	2
0	105000000	1199	2
1	106000001	964	2
1	107000001	962	2
2	146000002	1012	3
0	106000000	977	2
2	147000002	821	2
1	108000001	957	2
3	77000003	1273	3
0	107000000	971	2
2	148000002	831	3
1	109000001	956	3
1	110000001	945	2
2	149000002	896	3
0	108000000	1958	2
3	78000003	1660	3
0	109000000	1066	3
1	111000001	1279	3
3	79000003	1240	2
0	110000000	962	2
1	112000001	938	2
2	150000002	1813	3
3	80000003	1232	2
1	113000001	960	3
2	151000002	1059	3
1	114000001	930	2
2	152000002	810	2
3	81000003	1208	2
1	115000001	924	2
2	153000002	804	2
0	111000000	2299	3
2	154000002	804	2
3	82000003	1203	2
1	116000001	924	3
2	155000002	797	2
0	112000000	958	2
3	83000003	1194	2
1	117000001	920	2
0	113000000	956	2
2	156000002	799	3
3	84000003	1209	2
0	114000000	954	2
2	157000002	796	2
1	118000001	950	3
3	85000003	1176	2
2	158000002	836	3
1	119000001	918	2
0	115000000	970	3
1	120000001	917	2
2	159000002	1078	3
0	116000000	929	2
2	160000002	818	2
0	117000000	947	2
2	161000002	787	2
3	86000003	1585	3
1	121000001	2388	3
3	87000003	1458	2
2	162000002	1213	3
1	122000001	911	2
2	163000002	782	2
0	118000000	1139	3
3	89000003	1146	2
1	123000001	911	2
2	164000002	791	3
0	119000000	1217	2
2	165000002	781	2
1	124000001	1158	3
2	166000002	773	2
0	120000000	1199	3
2	167000002	771	2
1	125000001	912	3
2	168000002	771	2
3	90000003	2123	3
1	126000001	903	2
0	121000000	901	3
2	169000002	764	3
1	127000001	902	2
0	122000000	886	2
3	91000003	1133	3
2	170000002	760	2
1	128000001	901	2
0	123000000	886	2
2	171000002	756	3
0	124000000	886	2
3	92000003	1331	3
2	172000002	752	2
1	129000001	903	3
2	173000002	750	2
3	93000003	1127	2
0	125000000	910	3
2	174000002	749	2
3	94000003	1120	2
1	130000001	1301	3
2	175000002	752	2
0	126000000	1274	2
3	95000003	1104	2
2	176000002	747	2
1	131000001	884	2
0	127000000	872	2
2	177000002	746	2
0	128000000	865	2
1	132000001	874	2
3	96000003	1080	2
2	178000002	772	3
1	133000001	1052	2
3	97000003	1076	2
0	129000000	865	3
2	179000002	745	2
1	134000001	870	2
0	130000000	876	3
2	180000002	902	3
3	98000003	1157	3
0	131000000	857	2
2	181000002	741	2
2	182000002	734	2
3	99000003	1080	2
2	183000002	728	2
0	132000000	847	3
1	135000001	1204	3
3	100000003	1528	2
0	133000000	847	3
1	136000001	895	2
3	101000003	1059	2
0	134000000	843	2
1	137000001	867	2
3	103000003	1051	2
1	138000001	867	2
0	135000000	865	3
3	104000003	1091	2
2	184000002	1867	3
0	136000000	840	2
1	139000001	934	3
2	185000002	726	2
0	137000000	836	2
3	105000003	1044	2
1	140000001	857	2
2	186000002	973	3
0	138000000	835	2
1	141000001	857	2
1	142000001	855	2
0	139000000	834	3
2	187000002	832	3
1	143000001	843	2
2	188000002	725	2
0	140000000	1047	3
1	144000001	839	2
2	189000002	724	2
3	106000003	1611	3
1	145000001	836	2
2	190000002	723	2
0	141000000	1264	2
2	191000002	722	2
1	146000001	834	2
3	107000003	1033	2
0	142000000	829	2
2	192000002	719	2
0	143000000	825	2
1	147000001	1140	3
0	144000000	826	2
2	193000002	834	3
1	148000001	825	2
2	194000002	711	2
0	145000000	823	2
1	149000001	818	2
2	195000002	957	2
0	146000000	818	2
3	108000003	1343	3
2	196000002	699	2
3	109000003	1050	3
1	150000001	918	3
2	197000002	719	3
3	110000003	1019	2
2	198000002	1099	3
1	151000001	1063	3
2	199000002	729	3
0	147000000	1150	3
1	152000001	814	2
3	111000003	1099	3
1	153000001	813	2
0	148000000	814	2
2	200000002	706	3
1	154000001	813	2
0	149000000	812	2
2	201000002	686	2
3	112000003	1043	2
1	155000001	810	2
0	150000000	811	2
2	202000002	681	2
3	114000003	1000	2
2	203000002	680	2
0	151000000	802	2
1	156000001	1169	3
2	204000002	724	3
3	115000003	1351	3
1	157000001	800	3
2	205000002	760	3
3	116000003	1128	3
1	158000001	795	2
0	152000000	1889	3
2	206000002	713	3
0	153000000	794	2
3	117000003	994	2
2	207000002	674	3
3	119000003	987	2
2	208000002	670	2
0	154000000	1339	3
2	210000002	669	2
3	120000003	981	2
1	159000001	1711	3
0	155000000	802	3
2	211000002	673	3
3	121000003	977	2
1	160000001	843	3
0	156000000	783	2
3	123000003	964	2
1	161000001	791	2
2	212000002	872	3
2	213000002	665	2
1	163000001	787	2
0	157000000	841	3
3	124000003	962	3
2	215000002	703	3
1	164000001	785	3
0	158000000	779	2
3	125000003	946	2
2	216000002	670	2
1	165000001	781	2
3	126000003	934	2
0	159000000	1096	2
0	160000000	775	2
3	127000003	929	2
0	161000000	773	2
2	217000002	1102	3
3	128000003	979	3
0	162000000	773	2
3	129000003	915	2
2	218000002	900	3
0	163000000	773	2
2	219000002	653	2
3	130000003	915	2
0	165000000	768	3
2	220000002	652	2
1	166000001	2151	3
3	131000003	908	2
0	166000000	761	2
2	221000002	651	2
1	167000001	775	3
2	222000002	650	2
0	167000000	759	2
1	168000001	774	2
2	223000002	698	2
0	168000000	755	2
3	132000003	925	3
1	169000001	813	2
2	224000002	641	2
0	169000000	755	2
1	170000001	773	2
3	133000003	906	2
2	225000002	639	2
1	171000001	766	2
3	134000003	904	2
0	170000000	1005	3
2	226000002	639	2
1	172000001	791	2
0	171000000	750	3
2	227000002	653	3
3	136000003	900	3
0	172000000	748	2
1	173000001	786	3
2	228000002	716	3
3	137000003	1037	2
0	173000000	748	3
1	174000001	759	2
2	229000002	637	2
1	175000001	758	2
0	174000000	775	2
1	176000001	757	2
2	230000002	710	3
3	138000003	1178	3
0	175000000	748	3
1	177000001	756	2
2	231000002	633	2
1	178000001	759	2
3	139000003	893	2
1	179000001	752	2
3	140000003	898	2
2	232000002	1039	3
1	181000001	749	2
3	141000003	890	2
2	233000002	655	2
1	182000001	747	2
0	176000000	1297	3
3	142000003	889	2
1	183000001	747	2
0	177000000	741	2
1	184000001	746	2
2	234000002	798	3
0	178000000	741	2
3	143000003	894	3
2	235000002	625	2
0	179000000	736	2
1	185000001	743	2
2	236000002	623	2
3	144000003	878	2
0	180000000	731	2
0	182000000	726	2
3	145000003	877	2
1	186000001	891	3
2	237000002	623	3
0	183000000	724	2
1	187000001	740	2
2	238000002	622	2
0	184000000	724	2
1	188000001	737	2
3	146000003	873	3
0	185000000	724	2
2	239000002	800	3
3	147000003	865	2
2	241000002	618	2
0	186000000	723	2
0	187000000	722	2
